date.start,status.long,arena.city,teams.visitors.code,teams.home.code,scores.visitors.points,scores.home.points
2024-10-23T23:30:00.000Z,Finished,Miami,ORL,MIA,116.0,97.0
2024-10-23T23:30:00.000Z,Finished,Philadelphia,MIL,PHI,124.0,109.0
2024-10-23T23:30:00.000Z,Finished,Toronto,CLE,TOR,136.0,106.0
2024-10-24T00:00:00.000Z,Finished,Houston,CHA,HOU,110.0,105.0
2024-10-24T00:00:00.000Z,Finished,New Orleans,CHI,NOP,111.0,123.0
2024-10-24T01:00:00.000Z,Finished,Salt Lake City,MEM,UTA,126.0,124.0
2024-10-24T02:00:00.000Z,Finished,Inglewood,PHX,LAC,116.0,113.0
2024-10-24T02:00:00.000Z,Finished,Portland,GSW,POR,139.0,104.0
2024-10-24T23:00:00.000Z,Finished,Washington,BOS,WAS,122.0,102.0
2024-10-24T23:30:00.000Z,Finished,Dallas,SAS,DAL,109.0,120.0
2024-10-25T02:00:00.000Z,Finished,Denver,OKC,DEN,102.0,87.0
2024-10-25T02:00:00.000Z,Finished,Sacramento,MIN,SAC,117.0,115.0
2024-10-25T23:00:00.000Z,Finished,Orlando,BKN,ORL,101.0,116.0
2024-10-25T23:00:00.000Z,Finished,Toronto,PHI,TOR,107.0,115.0
2024-10-25T23:30:00.000Z,Finished,Atlanta,CHA,ATL,120.0,125.0
2024-10-25T23:30:00.000Z,Finished,Cleveland,DET,CLE,101.0,113.0
2024-10-25T23:30:00.000Z,Finished,New York,IND,NYK,98.0,123.0
2024-10-26T00:00:00.000Z,Finished,Houston,MEM,HOU,108.0,128.0
2024-10-26T00:00:00.000Z,Finished,Milwaukee,CHI,MIL,133.0,122.0
2024-10-26T01:30:00.000Z,Finished,Salt Lake City,GSW,UTA,127.0,86.0
2024-10-26T02:00:00.000Z,Finished,Los Angeles,PHX,LAL,116.0,123.0
2024-10-26T02:00:00.000Z,Finished,Portland,NOP,POR,105.0,103.0
2024-10-26T21:00:00.000Z,Finished,Denver,LAC,DEN,109.0,104.0
2024-10-26T23:00:00.000Z,Finished,Charlotte,MIA,CHA,114.0,106.0
2024-10-26T23:00:00.000Z,Finished,Detroit,BOS,DET,124.0,118.0
2024-10-26T23:00:00.000Z,Finished,Washington,CLE,WAS,135.0,116.0
2024-10-27T00:00:00.000Z,Finished,Chicago,OKC,CHI,114.0,95.0
2024-10-27T00:00:00.000Z,Finished,Memphis,ORL,MEM,111.0,124.0
2024-10-27T00:00:00.000Z,Finished,Minneapolis,TOR,MIN,101.0,112.0
2024-10-27T00:30:00.000Z,Finished,San Antonio,HOU,SAS,106.0,109.0
2024-10-27T02:00:00.000Z,Finished,Phoenix,DAL,PHX,102.0,114.0
2024-10-27T02:30:00.000Z,Finished,Los Angeles,SAC,LAL,127.0,131.0
2024-10-27T19:30:00.000Z,Finished,Indianapolis,PHI,IND,118.0,114.0
2024-10-27T22:00:00.000Z,Finished,Brooklyn,MIL,BKN,102.0,115.0
2024-10-27T22:00:00.000Z,Finished,Portland,NOP,POR,103.0,125.0
2024-10-27T23:00:00.000Z,Finished,Oklahoma City,ATL,OKC,104.0,128.0
2024-10-28T00:30:00.000Z,Finished,San Francisco,LAC,GSW,112.0,104.0
2024-10-28T23:00:00.000Z,Finished,Orlando,IND,ORL,115.0,119.0
2024-10-28T23:30:00.000Z,Finished,Atlanta,WAS,ATL,121.0,119.0
2024-10-28T23:30:00.000Z,Finished,Boston,MIL,BOS,108.0,119.0
2024-10-28T23:30:00.000Z,Finished,Miami,DET,MIA,98.0,106.0
2024-10-28T23:30:00.000Z,Finished,New York,CLE,NYK,110.0,104.0
2024-10-28T23:30:00.000Z,Finished,Toronto,DEN,TOR,127.0,125.0
2024-10-29T00:00:00.000Z,Finished,Memphis,CHI,MEM,126.0,123.0
2024-10-29T00:00:00.000Z,Finished,San Antonio,HOU,SAS,106.0,101.0
2024-10-29T00:30:00.000Z,Finished,Dallas,UTA,DAL,102.0,110.0
2024-10-29T02:00:00.000Z,Finished,Phoenix,LAL,PHX,105.0,109.0
2024-10-29T02:00:00.000Z,Finished,Sacramento,POR,SAC,98.0,111.0
2024-10-29T23:30:00.000Z,Finished,Brooklyn,DEN,BKN,144.0,139.0
2024-10-29T23:30:00.000Z,Finished,Minneapolis,DAL,MIN,120.0,114.0
2024-10-30T01:00:00.000Z,Finished,Salt Lake City,SAC,UTA,113.0,96.0
2024-10-30T02:00:00.000Z,Finished,San Francisco,NOP,GSW,106.0,124.0
2024-10-30T23:00:00.000Z,Finished,Charlotte,TOR,CHA,133.0,138.0
2024-10-30T23:00:00.000Z,Finished,Cleveland,LAL,CLE,110.0,134.0
2024-10-30T23:00:00.000Z,Finished,Indianapolis,BOS,IND,132.0,135.0
2024-10-30T23:00:00.000Z,Finished,Philadelphia,DET,PHI,105.0,95.0
2024-10-30T23:00:00.000Z,Finished,Washington,ATL,WAS,120.0,133.0
2024-10-30T23:30:00.000Z,Finished,Miami,NYK,MIA,116.0,107.0
2024-10-31T00:00:00.000Z,Finished,Chicago,ORL,CHI,99.0,102.0
2024-10-31T00:00:00.000Z,Finished,Memphis,BKN,MEM,119.0,106.0
2024-10-31T01:30:00.000Z,Finished,Oklahoma City,SAS,OKC,93.0,105.0
2024-10-31T02:00:00.000Z,Finished,San Francisco,NOP,GSW,89.0,104.0
2024-10-31T02:30:00.000Z,Finished,Inglewood,POR,LAC,106.0,105.0
2024-11-01T00:00:00.000Z,Finished,Memphis,MIL,MEM,99.0,122.0
2024-11-01T00:30:00.000Z,Finished,Dallas,HOU,DAL,108.0,102.0
2024-11-01T01:00:00.000Z,Finished,Salt Lake City,SAS,UTA,106.0,88.0
2024-11-01T02:30:00.000Z,Finished,Inglewood,PHX,LAC,125.0,119.0
2024-11-01T23:00:00.000Z,Finished,Charlotte,BOS,CHA,124.0,109.0
2024-11-01T23:00:00.000Z,Finished,Cleveland,ORL,CLE,109.0,120.0
2024-11-01T23:00:00.000Z,Finished,Detroit,NYK,DET,128.0,98.0
2024-11-01T23:30:00.000Z,Finished,Atlanta,SAC,ATL,123.0,115.0
2024-11-01T23:30:00.000Z,Finished,Brooklyn,CHI,BKN,112.0,120.0
2024-11-01T23:30:00.000Z,Finished,Toronto,LAL,TOR,131.0,125.0
2024-11-02T00:00:00.000Z,Finished,New Orleans,IND,NOP,118.0,125.0
2024-11-02T01:30:00.000Z,Finished,Minneapolis,DEN,MIN,116.0,119.0
2024-11-02T02:00:00.000Z,Finished,Portland,OKC,POR,137.0,114.0
2024-11-02T22:00:00.000Z,Finished,Charlotte,BOS,CHA,113.0,103.0
2024-11-02T23:30:00.000Z,Finished,Philadelphia,MEM,PHI,124.0,107.0
2024-11-02T23:30:00.000Z,Finished,Toronto,SAC,TOR,128.0,131.0
2024-11-03T00:00:00.000Z,Finished,Houston,GSW,HOU,127.0,121.0
2024-11-03T00:00:00.000Z,Finished,Milwaukee,CLE,MIL,114.0,113.0
2024-11-03T00:00:00.000Z,Finished,San Antonio,MIN,SAS,103.0,113.0
2024-11-03T01:30:00.000Z,Finished,Mexico City,MIA,WAS,118.0,98.0
2024-11-03T02:00:00.000Z,Finished,Denver,UTA,DEN,103.0,129.0
2024-11-03T02:00:00.000Z,Finished,Phoenix,POR,PHX,97.0,103.0
2024-11-03T02:30:00.000Z,Finished,Inglewood,OKC,LAC,105.0,92.0
2024-11-03T20:30:00.000Z,Finished,Brooklyn,DET,BKN,106.0,92.0
2024-11-04T00:00:00.000Z,Finished,New Orleans,ATL,NOP,126.0,111.0
2024-11-04T00:30:00.000Z,Finished,Dallas,ORL,DAL,85.0,108.0
2024-11-05T00:00:00.000Z,Finished,Cleveland,MIL,CLE,114.0,116.0
2024-11-05T00:15:00.000Z,Finished,Washington,GSW,WAS,125.0,112.0
2024-11-05T00:30:00.000Z,Finished,Detroit,LAL,DET,103.0,115.0
2024-11-05T00:45:00.000Z,Finished,Atlanta,BOS,ATL,123.0,93.0
2024-11-05T01:00:00.000Z,Finished,Brooklyn,MEM,BKN,104.0,106.0
2024-11-05T01:15:00.000Z,Finished,Miami,SAC,MIA,111.0,110.0
2024-11-05T01:30:00.000Z,Finished,Chicago,UTA,CHI,135.0,126.0
2024-11-05T01:45:00.000Z,Finished,Houston,NYK,HOU,97.0,109.0
2024-11-05T02:00:00.000Z,Finished,Minneapolis,CHA,MIN,93.0,114.0
2024-11-05T02:15:00.000Z,Finished,Oklahoma City,ORL,OKC,86.0,102.0
2024-11-05T02:30:00.000Z,Finished,New Orleans,POR,NOP,118.0,100.0
2024-11-05T02:45:00.000Z,Finished,Dallas,IND,DAL,134.0,127.0
2024-11-05T03:00:00.000Z,Finished,Denver,TOR,DEN,119.0,121.0
2024-11-05T03:15:00.000Z,Finished,Phoenix,PHI,PHX,116.0,118.0
2024-11-05T03:30:00.000Z,Finished,Inglewood,SAS,LAC,104.0,113.0
2024-11-07T00:00:00.000Z,Finished,Charlotte,DET,CHA,107.0,108.0
2024-11-07T00:00:00.000Z,Finished,Indianapolis,ORL,IND,111.0,118.0
2024-11-07T00:30:00.000Z,Finished,Atlanta,NYK,ATL,116.0,121.0
2024-11-07T00:30:00.000Z,Finished,Boston,GSW,BOS,118.0,112.0
2024-11-07T01:00:00.000Z,Finished,Houston,SAS,HOU,100.0,127.0
2024-11-07T01:00:00.000Z,Finished,Memphis,LAL,MEM,114.0,131.0
2024-11-07T01:00:00.000Z,Finished,New Orleans,CLE,NOP,131.0,122.0
2024-11-07T01:30:00.000Z,Finished,Dallas,CHI,DAL,99.0,119.0
2024-11-07T02:00:00.000Z,Finished,Denver,OKC,DEN,122.0,124.0
2024-11-07T02:00:00.000Z,Finished,Phoenix,MIA,PHX,112.0,115.0
2024-11-07T03:00:00.000Z,Finished,Inglewood,PHI,LAC,98.0,110.0
2024-11-07T03:00:00.000Z,Finished,Sacramento,TOR,SAC,107.0,122.0
2024-11-08T01:00:00.000Z,Finished,Chicago,MIN,CHI,135.0,119.0
2024-11-08T01:00:00.000Z,Finished,Milwaukee,UTA,MIL,100.0,123.0
2024-11-08T01:00:00.000Z,Finished,San Antonio,POR,SAS,105.0,118.0
2024-11-09T00:00:00.000Z,Finished,Charlotte,IND,CHA,83.0,103.0
2024-11-09T00:00:00.000Z,Finished,Detroit,ATL,DET,121.0,122.0
2024-11-09T00:00:00.000Z,Finished,Orlando,NOP,ORL,88.0,115.0
2024-11-09T00:30:00.000Z,Finished,Boston,BKN,BOS,104.0,108.0
2024-11-09T00:30:00.000Z,Finished,Cleveland,GSW,CLE,117.0,136.0
2024-11-09T00:30:00.000Z,Finished,New York,MIL,NYK,94.0,116.0
2024-11-09T00:30:00.000Z,Finished,Dallas,PHX,DAL,114.0,113.0
2024-11-09T01:00:00.000Z,Finished,Memphis,WAS,MEM,104.0,128.0
2024-11-09T01:00:00.000Z,Finished,Oklahoma City,HOU,OKC,107.0,126.0
2024-11-09T02:00:00.000Z,Finished,Minneapolis,POR,MIN,102.0,127.0
2024-11-09T02:00:00.000Z,Finished,Denver,MIA,DEN,122.0,135.0
2024-11-09T03:00:00.000Z,Finished,Los Angeles,PHI,LAL,106.0,116.0
2024-11-09T03:00:00.000Z,Finished,Sacramento,LAC,SAC,107.0,98.0
2024-11-09T22:00:00.000Z,Finished,San Antonio,UTA,SAS,111.0,110.0
2024-11-10T00:30:00.000Z,Finished,Atlanta,CHI,ATL,125.0,113.0
2024-11-10T00:30:00.000Z,Finished,Cleveland,BKN,CLE,100.0,105.0
2024-11-10T03:30:00.000Z,Finished,Inglewood,TOR,LAC,103.0,105.0
2024-11-10T20:00:00.000Z,Finished,Detroit,HOU,DET,101.0,99.0
2024-11-10T20:30:00.000Z,Finished,Milwaukee,BOS,MIL,113.0,107.0
2024-11-10T22:00:00.000Z,Finished,Indianapolis,NYK,IND,121.0,132.0
2024-11-10T23:00:00.000Z,Finished,Orlando,WAS,ORL,94.0,121.0
2024-11-11T00:00:00.000Z,Finished,Philadelphia,CHA,PHI,105.0,107.0
2024-11-11T00:00:00.000Z,Finished,Minneapolis,MIA,MIN,95.0,94.0
2024-11-11T00:00:00.000Z,Finished,Oklahoma City,GSW,OKC,127.0,116.0
2024-11-11T01:00:00.000Z,Finished,Denver,DAL,DEN,120.0,122.0
2024-11-11T01:00:00.000Z,Finished,Phoenix,SAC,PHX,127.0,118.0
2024-11-11T02:00:00.000Z,Finished,Portland,MEM,POR,134.0,89.0
2024-11-11T02:30:00.000Z,Finished,Los Angeles,TOR,LAL,103.0,123.0
2024-11-12T01:00:00.000Z,Finished,Chicago,CLE,CHI,119.0,113.0
2024-11-12T01:00:00.000Z,Finished,Houston,WAS,HOU,92.0,107.0
2024-11-12T01:00:00.000Z,Finished,New Orleans,BKN,NOP,107.0,105.0
2024-11-12T01:00:00.000Z,Finished,Oklahoma City,LAC,OKC,128.0,134.0
2024-11-12T01:00:00.000Z,Finished,San Antonio,SAC,SAS,96.0,116.0
2024-11-13T00:00:00.000Z,Finished,Boston,ATL,BOS,117.0,116.0
2024-11-13T00:00:00.000Z,Finished,Detroit,MIA,DET,121.0,123.0
2024-11-13T00:00:00.000Z,Finished,Orlando,CHA,ORL,89.0,114.0
2024-11-13T00:30:00.000Z,Finished,Philadelphia,NYK,PHI,111.0,99.0
2024-11-13T01:00:00.000Z,Finished,Milwaukee,TOR,MIL,85.0,99.0
2024-11-13T02:00:00.000Z,Finished,Salt Lake City,PHX,UTA,120.0,112.0
2024-11-13T03:00:00.000Z,Finished,San Francisco,DAL,GSW,117.0,120.0
2024-11-13T03:00:00.000Z,Finished,Portland,MIN,POR,108.0,122.0
2024-11-14T00:00:00.000Z,Finished,Orlando,IND,ORL,90.0,94.0
2024-11-14T00:30:00.000Z,Finished,Brooklyn,BOS,BKN,139.0,114.0
2024-11-14T00:30:00.000Z,Finished,New York,CHI,NYK,124.0,123.0
2024-11-14T00:30:00.000Z,Finished,Philadelphia,CLE,PHI,114.0,106.0
2024-11-14T00:30:00.000Z,Finished,Oklahoma City,NOP,OKC,88.0,106.0
2024-11-14T01:00:00.000Z,Finished,Houston,LAC,HOU,103.0,111.0
2024-11-14T01:00:00.000Z,Finished,Milwaukee,DET,MIL,120.0,127.0
2024-11-14T01:00:00.000Z,Finished,San Antonio,WAS,SAS,130.0,139.0
2024-11-14T03:00:00.000Z,Finished,Los Angeles,MEM,LAL,123.0,128.0
2024-11-14T03:00:00.000Z,Finished,Portland,MIN,POR,98.0,106.0
2024-11-14T03:00:00.000Z,Finished,Sacramento,PHX,SAC,104.0,127.0
2024-11-15T02:00:00.000Z,Finished,Salt Lake City,DAL,UTA,113.0,115.0
2024-11-16T00:00:00.000Z,Finished,Indianapolis,MIA,IND,124.0,111.0
2024-11-16T00:00:00.000Z,Finished,Orlando,PHI,ORL,86.0,98.0
2024-11-16T00:00:00.000Z,Finished,Toronto,DET,TOR,99.0,95.0
2024-11-16T00:30:00.000Z,Finished,Atlanta,WAS,ATL,117.0,129.0
2024-11-16T00:30:00.000Z,Finished,Cleveland,CHI,CLE,126.0,144.0
2024-11-16T00:30:00.000Z,Finished,New York,BKN,NYK,122.0,124.0
2024-11-16T00:30:00.000Z,Finished,San Antonio,LAL,SAS,120.0,115.0
2024-11-16T01:00:00.000Z,Finished,Houston,LAC,HOU,104.0,125.0
2024-11-16T01:00:00.000Z,Finished,New Orleans,DEN,NOP,94.0,101.0
2024-11-16T01:00:00.000Z,Finished,Oklahoma City,PHX,OKC,83.0,99.0
2024-11-16T03:00:00.000Z,Finished,San Francisco,MEM,GSW,118.0,123.0
2024-11-16T03:00:00.000Z,Finished,Sacramento,MIN,SAC,130.0,126.0
2024-11-16T20:00:00.000Z,Finished,Charlotte,MIL,CHA,114.0,115.0
2024-11-17T01:00:00.000Z,Finished,Boston,TOR,BOS,123.0,126.0
2024-11-17T01:00:00.000Z,Finished,New Orleans,LAL,NOP,104.0,99.0
2024-11-17T01:30:00.000Z,Finished,Dallas,SAS,DAL,93.0,110.0
2024-11-17T03:00:00.000Z,Finished,Sacramento,UTA,SAC,117.0,121.0
2024-11-17T20:30:00.000Z,Finished,Minneapolis,PHX,MIN,117.0,120.0
2024-11-17T22:00:00.000Z,Finished,Indianapolis,MIA,IND,110.0,119.0
2024-11-17T23:00:00.000Z,Finished,Cleveland,CHA,CLE,114.0,128.0
2024-11-17T23:00:00.000Z,Finished,Washington,DET,WAS,124.0,104.0
2024-11-17T23:00:00.000Z,Finished,Memphis,DEN,MEM,90.0,105.0
2024-11-17T23:00:00.000Z,Finished,Portland,ATL,POR,110.0,114.0
2024-11-18T00:00:00.000Z,Finished,New York,BKN,NYK,104.0,114.0
2024-11-18T00:00:00.000Z,Finished,Chicago,HOU,CHI,143.0,107.0
2024-11-18T00:00:00.000Z,Finished,Oklahoma City,DAL,OKC,121.0,119.0
2024-11-18T02:00:00.000Z,Finished,Inglewood,UTA,LAC,105.0,116.0
2024-11-19T00:00:00.000Z,Finished,Detroit,CHI,DET,122.0,112.0
2024-11-19T00:30:00.000Z,Finished,Miami,PHI,MIA,89.0,106.0
2024-11-19T00:30:00.000Z,Finished,New York,WAS,NYK,106.0,134.0
2024-11-19T00:30:00.000Z,Finished,Toronto,IND,TOR,119.0,130.0
2024-11-19T01:00:00.000Z,Finished,Milwaukee,HOU,MIL,100.0,101.0
2024-11-19T02:00:00.000Z,Finished,Phoenix,ORL,PHX,109.0,99.0
2024-11-19T03:00:00.000Z,Finished,Sacramento,ATL,SAC,109.0,108.0
2024-11-19T03:30:00.000Z,Finished,Inglewood,GSW,LAC,99.0,102.0
2024-11-20T00:00:00.000Z,Finished,Boston,CLE,BOS,117.0,120.0
2024-11-20T00:30:00.000Z,Finished,Brooklyn,CHA,BKN,115.0,116.0
2024-11-20T01:00:00.000Z,Finished,Memphis,DEN,MEM,122.0,110.0
2024-11-20T01:30:00.000Z,Finished,Dallas,NOP,DAL,91.0,132.0
2024-11-20T02:30:00.000Z,Finished,San Antonio,OKC,SAS,104.0,110.0
2024-11-20T03:30:00.000Z,Finished,Los Angeles,UTA,LAL,118.0,124.0
2024-11-21T00:30:00.000Z,Finished,Cleveland,NOP,CLE,100.0,128.0
2024-11-21T00:30:00.000Z,Finished,Milwaukee,CHI,MIL,106.0,122.0
2024-11-21T01:00:00.000Z,Finished,Houston,IND,HOU,113.0,130.0
2024-11-21T01:00:00.000Z,Finished,Memphis,PHI,MEM,111.0,117.0
2024-11-21T01:00:00.000Z,Finished,Oklahoma City,POR,OKC,99.0,109.0
2024-11-21T03:00:00.000Z,Finished,Phoenix,NYK,PHX,138.0,122.0
2024-11-21T03:00:00.000Z,Finished,San Francisco,ATL,GSW,97.0,120.0
2024-11-21T03:30:00.000Z,Finished,Inglewood,ORL,LAC,93.0,104.0
2024-11-22T00:00:00.000Z,Finished,Charlotte,DET,CHA,121.0,123.0
2024-11-22T00:30:00.000Z,Finished,Toronto,MIN,TOR,105.0,110.0
2024-11-22T01:00:00.000Z,Finished,San Antonio,UTA,SAS,118.0,126.0
2024-11-22T03:30:00.000Z,Finished,Los Angeles,ORL,LAL,119.0,118.0
2024-11-23T00:00:00.000Z,Finished,Philadelphia,BKN,PHI,98.0,113.0
2024-11-23T00:00:00.000Z,Finished,Washington,BOS,WAS,108.0,96.0
2024-11-23T00:30:00.000Z,Finished,Milwaukee,IND,MIL,117.0,129.0
2024-11-23T01:00:00.000Z,Finished,Chicago,ATL,CHI,122.0,136.0
2024-11-23T01:00:00.000Z,Finished,Houston,POR,HOU,88.0,116.0
2024-11-23T01:00:00.000Z,Finished,New Orleans,GSW,NOP,112.0,108.0
2024-11-23T03:00:00.000Z,Finished,Denver,DAL,DEN,123.0,120.0
2024-11-23T03:30:00.000Z,Finished,Inglewood,SAC,LAC,88.0,104.0
2024-11-23T22:00:00.000Z,Finished,Salt Lake City,NYK,UTA,106.0,121.0
2024-11-24T00:00:00.000Z,Finished,Orlando,DET,ORL,100.0,111.0
2024-11-24T01:00:00.000Z,Finished,Chicago,MEM,CHI,142.0,131.0
2024-11-24T01:00:00.000Z,Finished,Houston,POR,HOU,104.0,98.0
2024-11-24T01:00:00.000Z,Finished,Milwaukee,CHA,MIL,119.0,125.0
2024-11-24T01:30:00.000Z,Finished,San Antonio,GSW,SAS,94.0,104.0
2024-11-24T03:30:00.000Z,Finished,Los Angeles,DEN,LAL,127.0,102.0
2024-11-24T20:30:00.000Z,Finished,Boston,MIN,BOS,105.0,107.0
2024-11-24T22:00:00.000Z,Finished,Indianapolis,WAS,IND,103.0,115.0
2024-11-24T23:00:00.000Z,Finished,Miami,DAL,MIA,118.0,123.0
2024-11-24T23:00:00.000Z,Finished,Philadelphia,LAC,PHI,125.0,99.0
2024-11-25T00:30:00.000Z,Finished,Cleveland,TOR,CLE,108.0,122.0
2024-11-25T02:00:00.000Z,Finished,Sacramento,BKN,SAC,108.0,103.0
2024-11-26T00:00:00.000Z,Finished,Charlotte,ORL,CHA,95.0,84.0
2024-11-26T00:00:00.000Z,Finished,Detroit,TOR,DET,100.0,102.0
2024-11-26T00:00:00.000Z,Finished,Indianapolis,NOP,IND,110.0,114.0
2024-11-26T00:30:00.000Z,Finished,Atlanta,DAL,ATL,129.0,119.0
2024-11-26T00:30:00.000Z,Finished,Boston,LAC,BOS,94.0,126.0
2024-11-26T01:00:00.000Z,Finished,Memphis,POR,MEM,98.0,123.0
2024-11-26T02:00:00.000Z,Finished,Denver,NYK,DEN,145.0,118.0
