player_name,team.code,location,predicted_assists_5th_percentile,predicted_assists_95th_percentile,predicted_points_5th_percentile,predicted_points_95th_percentile,predicted_rebounds_5th_percentile,predicted_rebounds_95th_percentile
Nick Jr. Smith,CHA,home,0.7467411725063685,1.9811059114866905,2.5428518672455587,9.60631630050353,1.324084824193692,3.8729123461592
Nick Richards,CHA,home,0.8317775140777889,3.864121027829569,4.637921848714455,18.181132464904184,2.815983095076972,6.658013391329692
Seth Curry,CHA,home,0.7692143673465602,2.74550867834735,3.6495691144784943,13.126867124238418,1.5207125833856212,5.078039722468886
Taj Gibson,CHA,home,0.7418111609675271,1.5717048922672894,2.5387671385141366,7.016752273290474,1.5857239138978294,3.4176970836468974
Tidjane Salaun,CHA,home,0.7963737305043527,2.6423077474222985,2.8768650163918505,11.901336292431388,1.5477530179568564,6.570736536906246
Tre Mann,CHA,home,0.9967162711205465,2.79006362671299,4.527926680201475,13.390250714733295,2.1063244935434033,5.174240827979374
Vasilije Micic,CHA,home,0.8083438785993657,4.158168433177471,2.6560524381013972,13.249908131946617,1.353345818691355,4.6804191321149675
Brandon Williams,DAL,visitor,0.7473262826861611,1.5203532288771413,3.0936245814755323,6.91168002456188,1.5500094389215815,2.834909612428907
Daniel Gafford,DAL,visitor,1.2987279018151356,3.095305118037023,6.0668852714683785,14.504904811221069,2.893112514639752,7.259988544743866
Dereck II Lively,DAL,visitor,1.3238302044370442,3.8622026752047276,6.384339961535024,17.046393802739924,3.0384446458200616,6.761856370060609
Dwight Powell,DAL,visitor,0.8753923655247124,2.2907671562493372,3.4088791952966466,10.863551983336912,1.8606169253454141,4.817583195857293
Jaden Hardy,DAL,visitor,0.9339892168023447,2.1811265031420355,4.263100185909639,10.877647098822287,1.6543136823052775,3.9967691760513215
Jamarion Sharp,DAL,visitor,0.6860506450604567,1.4369808583550412,2.563307803364369,7.372143981842621,1.4838365088403755,3.9153784437919446
Jazian Gortman,DAL,visitor,0.8714799867664917,2.707234593284123,2.78148862562417,13.961088158570849,1.4503515228090251,4.939979316377595
Klay Thompson,DAL,visitor,1.3656778169484596,3.6275579239979487,6.195518979478395,16.743738353909585,2.4055711289903816,5.325743266066026
Kyrie Irving,DAL,visitor,2.438172643962344,5.247113638016095,12.211098714937057,29.56294848466199,4.048056111270143,7.173029135784214
Luka Doncic,DAL,visitor,2.7384982917339658,6.769531597757907,14.328676421716112,31.986161461766375,4.91744037584696,7.968400063920368
Maxi Kleber,DAL,visitor,0.7540271956615745,2.247182872150377,2.7488761230615557,10.708836782488627,1.5438405178880075,4.110323286533039
Naji Marshall,DAL,visitor,0.9584655922366848,2.7504611269304484,4.100597076042686,16.824818950977672,2.12498100610377,4.903238914569079
OlivierMaxence Prosper,DAL,visitor,0.7533789889105198,2.752351984913663,2.5113067475725526,13.111496908976886,1.3831912657979206,5.7313972516463805
P.J. Washington,DAL,visitor,1.6739744584320746,4.492572606880927,7.570145830846813,22.396071217575937,3.3003564845366444,7.706111376408355
Quentin Grimes,DAL,visitor,0.9743039874208723,3.681811777892729,4.419735613524915,17.137261694371436,2.1064164605727798,5.532038105414464
Spencer Dinwiddie,DAL,visitor,1.1742443490052235,3.019287755392656,3.3963702749218947,14.25875957038631,1.7149177463122434,5.02207483273827
Brice Sensabaugh,UTA,home,0.8802188452148907,2.378470127877345,2.840491154260684,11.234138409043616,1.5616462557658388,4.401910851428042
Cody Williams,UTA,home,0.9136024972473787,2.648903604367824,3.2767223040491134,12.66217571794098,1.848274395529331,4.282810070248102
Collin Sexton,UTA,home,1.7241089410844699,4.061933060395889,8.53790218674052,20.11130441380547,3.4075069005341136,5.759736723836499
Drew Eubanks,UTA,home,0.8891208591233767,2.123123528249783,3.5833505071886464,10.732870837771113,2.237190856126372,5.107244180567428
Isaiah Collier,UTA,home,1.4880833589890239,3.8837722746803447,2.250016044640557,10.469917816878839,1.4478816096515505,4.011667805337481
John Collins,UTA,home,1.7118865017805651,4.358789769358787,8.055917221375653,24.0606513392943,3.607115272418331,7.638837332924889
Johnny Juzang,UTA,home,0.8437873401914077,2.08154804945464,2.9746997168983733,10.29864307277941,1.6218638178398568,4.304296654140146
Jordan Clarkson,UTA,home,1.779569255610768,3.9439768799699073,7.1933934736595635,18.372523436294678,3.1765475877278266,5.6292460580667125
