player_name,team.code,location,predicted_assists_mean,predicted_assists_median,predicted_assists_std,predicted_assists_95th_percentile,predicted_points_mean,predicted_points_median,predicted_points_std,predicted_points_95th_percentile,predicted_rebounds_mean,predicted_rebounds_median,predicted_rebounds_std,predicted_rebounds_95th_percentile
Aaron Gordon,DEN,visitor,2.6081621928293206,2.508655902114283,0.8113497007946278,4.046429500029422,11.958978055903696,11.741799017964432,4.083881114198735,19.054444947871463,4.399151460329837,4.417004949966731,1.0881340255656828,6.099962804401267
Christian Braun,DEN,visitor,2.872665008652933,2.6619090596115136,0.7179960826417492,4.083167813016554,13.88273984409004,13.994538521475125,3.6812466423612524,20.460805641751975,4.658555523335461,4.637446527231946,0.908785324532825,6.114598115006762
Dario Saric,DEN,visitor,1.5186450662977344,1.3207693798482316,0.708631338575977,2.7149002064894736,6.5832459060653425,6.122467250423495,2.835246673110782,12.445553761153068,3.0302709935211314,2.95856381214659,0.9497344307942195,4.759871786196128
DeAndre Jordan,DEN,visitor,1.0178281543072827,0.8722172768065287,0.3147316966509022,1.5605209562384597,4.798402728257344,4.791878753517826,1.323146065707383,7.023469928969432,3.5104659146112307,3.5528689389057586,0.6457726790437268,4.503070799105264
Hunter Tyson,DEN,visitor,1.4362587189521565,1.260755913851491,0.5347424713101455,2.3497416154572552,6.337951787208898,6.176566146370208,2.386627235856907,11.1590389849483,3.029968957443651,2.966615285611474,0.8220402427094358,4.706349674727409
Jahmir Young,DEN,visitor,1.1250026750326036,1.1250026750326036,0.0,1.1250026750326036,5.41279831749033,5.4127983174903305,8.881784197001252e-16,5.4127983174903305,2.6169563662418733,2.6169563662418738,4.440892098500626e-16,2.6169563662418738
Jalen Pickett,DEN,visitor,1.4352752915351796,1.3961658889525141,0.3487465540360979,2.028696827798423,4.832550203144821,4.403946346774492,1.2540036106606005,7.063177840887031,2.3459211628758885,2.274704012066443,0.4103600220924533,3.1309138563296717
Jamal Murray,DEN,visitor,4.0812823133087885,4.07483680849192,1.6769172519058304,6.663896573429995,14.801638812296359,14.68134838112195,5.186507876017958,24.958163019154625,4.614010233633251,4.460952669215401,1.0663673556640147,6.563095862971686
Julian Strawther,DEN,visitor,1.8041620434628667,1.8192412650497038,0.520888262494786,2.6149474698291413,8.188970038167644,7.8545436818435,2.3878450024823143,12.332300471976305,3.199376853943947,3.1368410407044607,0.7273537098807321,4.476783294760887
Michael Porter Jr.,DEN,visitor,3.3450826413454915,3.476685865782125,0.7234091076322317,4.560808014890714,16.170777204331777,15.771470363141251,3.837042354246441,23.133225503982413,5.454337717380975,5.415769538610213,0.8735369118593113,6.853836865329185
Nikola Jokic,DEN,visitor,5.711767410904355,5.5196014292380156,1.4872854282571133,8.00055830179058,24.18134531299102,23.89579089134463,6.894080503579797,38.12738337905137,7.881945974242481,7.552593283082189,1.496998682180522,10.405383424740906
Peyton Watson,DEN,visitor,2.1132997032852825,2.19100261362891,0.8097142127887388,3.6291178988200374,9.471103366551485,9.053190614591903,3.8898898548724237,15.993437711225713,3.6498525471923595,3.6042091963724276,0.9602494743963501,5.358726319968588
Russell Westbrook,DEN,visitor,4.203103627269715,4.186246344644812,1.264500758513578,6.009069622178881,11.356980232247077,11.413295200405026,3.5585832011478304,17.866045296760735,4.224534679761999,4.146204949865794,1.0561184873799006,5.939288806696155
Spencer Jones,DEN,visitor,0.6811114572040922,0.6811114572040919,2.220446049250313e-16,0.6811114572040919,2.200894124110253,2.2008941241102535,4.440892098500626e-16,2.2008941241102535,1.470065157496268,1.4700651574962682,2.220446049250313e-16,1.4700651574962682
Trey Alexander,DEN,visitor,1.6306929950474232,1.4278161924340518,0.7019742988253939,2.7526794495880305,6.900355129225999,6.517948786323908,2.6589252405542947,11.85220048983628,3.0833961356723574,2.9999277344103987,0.8716756953006156,4.7045549682582815
Vlatko Cancar,DEN,visitor,1.331883543494468,1.3315683482369771,0.307741082380801,1.9288044569211662,5.158922826042896,4.881403994829174,1.6737711823799417,7.9596466310557075,2.346385733728228,2.25971797845386,0.4857559341910837,3.3042537277244124
Zeke Nnaji,DEN,visitor,1.3058651614369379,1.092094554242402,0.621914203779462,2.4896860506063985,5.743597741981443,5.812031293999102,2.432848918832607,10.45801258409886,2.7963097158750454,2.83632217241612,0.9090011601890351,4.364697206026512
Adem Bona,PHI,visitor,0.9326220804693323,0.8620080647323264,0.20955604499686808,1.3382364710001537,4.1983925412874745,3.944400171141674,1.2677455877085695,6.548559616175113,2.5875188063836316,2.661696518774421,0.5758741592364844,3.664716725115275
Andre Drummond,PHI,visitor,2.087749874899998,1.9777282058557368,0.8950758023849167,3.857268618141752,10.266996340011827,10.002556325661299,4.297653564235814,18.415502932572604,6.027798799196918,5.139530456486295,2.43787170949701,10.068341576311019
Caleb Martin,PHI,visitor,2.0974157567757867,2.0306794547914033,0.8075683223123414,3.577295716172976,9.609950447519216,9.123848013483048,3.946807074852833,16.6844112019784,3.8844220198459727,3.514358376759703,1.4123430502194594,6.595369419118587
Eric Gordon,PHI,visitor,1.2610097454648361,1.1969314513199165,0.3702706291676281,1.9205337736546393,5.639668074136731,5.685858344683401,1.93855276722248,9.133335981328543,2.460445657929885,2.368771620808324,0.6209336253794364,3.4977493144073537
Guerschon Yabusele,PHI,visitor,2.0121487729202814,1.9468706262903406,0.7926051623448109,3.6121659288612693,9.638246180497863,9.305841050800332,3.7868393949559755,16.326335517866138,4.201890957551084,4.043141075461998,1.3741771767214377,6.500442700498162
