1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,xgb_avg
8.73768,8.614527,8.695116,8.814962,8.724956,8.62267,8.616072,8.745903,8.773406,8.627688,8.65849,8.866259,8.701811,8.482561,8.804815,8.79755,8.667005,8.725605,8.714279,8.713664,8.620318,8.704919,8.616072,8.6387005,8.64476,8.718367,8.755518,8.554054,8.782797,8.730071,8.644079,8.712044,8.651094,8.682265,8.674017,8.585954,8.713664,8.679813,8.680552,8.825229,8.831138,8.62656,8.640237,8.770346,8.737984,8.660629,8.57264,8.635965,8.714623,8.64476,8.700353,8.738252,8.691481,8.739699,8.671617,8.764167,8.702808,8.700937,8.710339,8.713664,8.642168,8.670405,8.636574,8.773454,8.749186,8.706636,8.626515,8.779602,8.764069,8.655523,8.710458,8.750941,8.804815,8.627688,8.668255,8.593783,8.737984,8.678424,8.72065,8.782249,8.76081,8.654232,8.699918,8.64842,8.722063,8.695722,8.727227,8.83073,8.681155,8.674792,8.715712,8.647752,8.631981,8.712571,8.644246,8.758399,8.740415,8.637263,8.699008,8.713143,8.697624
8.73768,8.614527,8.695116,8.814962,8.724956,8.62267,8.581938,8.745903,8.773406,8.627688,8.65849,8.866259,8.701811,8.482561,8.804815,8.79755,8.622784,8.725605,8.714279,8.713664,8.620318,8.704919,8.581938,8.6387005,8.64476,8.764745,8.755518,8.554054,8.782797,8.787721,8.644079,8.712044,8.60573,8.682265,8.674017,8.585954,8.713664,8.679813,8.680552,8.825229,8.831138,8.62656,8.595151,8.770346,8.737984,8.660629,8.57264,8.635965,8.714623,8.64476,8.700353,8.738252,8.691481,8.739699,8.671617,8.764167,8.702808,8.700937,8.710339,8.713664,8.642168,8.670405,8.636574,8.773454,8.749186,8.706636,8.626515,8.779602,8.764069,8.655523,8.710458,8.750941,8.804815,8.627688,8.668255,8.593783,8.737984,8.678424,8.72065,8.782249,8.76081,8.654232,8.699918,8.64842,8.722063,8.695722,8.727227,8.83073,8.681155,8.674792,8.715712,8.647752,8.631981,8.712571,8.644246,8.758399,8.740415,8.637263,8.699008,8.713143,8.696636
8.73768,8.614527,8.695116,8.814962,8.724956,8.62267,8.617126,8.745903,8.79195,8.6793375,8.65849,8.866259,8.701811,8.550053,8.804815,8.79755,8.668063,8.725605,8.714279,8.713664,8.620318,8.704919,8.617126,8.6387005,8.64476,8.667384,8.755518,8.554054,8.782797,8.544997,8.644079,8.712044,8.637209,8.662158,8.674017,8.611285,8.713664,8.696008,8.680552,8.825229,8.80323,8.62656,8.633124,8.770346,8.737984,8.660629,8.57264,8.635965,8.714623,8.64476,8.700353,8.738252,8.691481,8.739699,8.690679,8.764167,8.702808,8.700937,8.710339,8.713664,8.642168,8.670405,8.636574,8.773454,8.749186,8.742803,8.626515,8.779602,8.764069,8.655523,8.710458,8.773743,8.804815,8.6793375,8.668255,8.568617,8.737984,8.678424,8.72065,8.782249,8.76081,8.632385,8.699918,8.64842,8.722063,8.695722,8.727227,8.807356,8.681155,8.674792,8.715712,8.647752,8.631981,8.712571,8.644246,8.758399,8.740415,8.637263,8.699008,8.713143,8.69699
8.73768,8.614527,8.695116,8.748936,8.724956,8.62267,8.583686,8.745903,8.68248,8.619765,8.65849,8.866259,8.701811,8.525173,8.778834,8.635586,8.569215,8.690336,8.714279,8.649037,8.588311,8.704919,8.583686,8.6387005,8.530812,8.463104,8.755518,8.521228,8.782797,8.489376,8.297464,8.712044,8.445796,8.544503,8.674017,8.611285,8.649037,8.696008,8.680552,8.825229,8.782682,8.62656,8.633124,8.745974,8.737984,8.6285715,8.582586,8.635965,8.650408,8.530812,8.616767,8.738252,8.691481,8.739699,8.690679,8.764167,8.702808,8.641483,8.660815,8.649037,8.600664,8.670405,8.636574,8.773454,8.749186,8.520962,8.626515,8.779602,8.764069,8.655523,8.55999,8.7251835,8.778834,8.619765,8.668255,8.429337,8.737984,8.571419,8.72065,8.782249,8.589096,8.632385,8.630493,8.593916,8.722063,8.695722,8.727227,8.628775,8.681155,8.674792,8.715712,8.647752,8.631981,8.712571,8.644246,8.758399,8.740415,8.599682,8.349368,8.713143,8.656683
8.73768,8.614527,8.695116,8.814962,8.724956,8.62267,8.617126,8.745903,8.741791,8.6793375,8.65849,8.866259,8.701811,8.550053,8.804815,8.79755,8.668063,8.725605,8.714279,8.713664,8.672277,8.704919,8.617126,8.6387005,8.64476,8.820439,8.755518,8.554054,8.782797,8.640552,8.644079,8.712044,8.684444,8.662158,8.674017,8.611285,8.713664,8.696008,8.680552,8.825229,8.80323,8.62656,8.681514,8.770346,8.737984,8.660629,8.617302,8.635965,8.714623,8.64476,8.700353,8.738252,8.66744,8.739699,8.690679,8.764167,8.702808,8.700937,8.666112,8.713664,8.642168,8.670405,8.636574,8.773454,8.749186,8.742803,8.626515,8.779602,8.844647,8.655523,8.710458,8.788457,8.804815,8.6793375,8.668255,8.593783,8.737984,8.678424,8.72065,8.782249,8.809565,8.632385,8.699918,8.597118,8.722063,8.695722,8.727227,8.807356,8.661254,8.674792,8.715712,8.647752,8.631981,8.712571,8.752038,8.758399,8.740415,8.637263,8.675527,8.713143,8.702038
8.73768,8.578304,8.695116,8.663419,8.7019415,8.587315,8.561135,8.724831,8.581488,8.405572,8.430424,8.866259,8.4609995,8.46103,8.739495,8.71765,8.630569,8.699819,8.607487,8.35204,8.484005,8.62509,8.561135,8.6387005,8.426713,8.708044,8.627086,8.427835,8.782797,8.187366,8.623218,8.712044,8.429522,8.591347,8.482817,8.471098,8.35204,8.673402,8.617142,8.825229,8.750612,8.62656,8.633124,8.770346,8.737984,8.644629,8.343022,8.635965,8.652849,8.426713,8.700353,8.738252,8.691481,8.648414,8.690679,8.764167,8.576588,8.700937,8.710339,8.35204,8.611294,8.636799,8.575256,8.773454,8.749186,8.677761,8.606582,8.746912,8.640254,8.655523,8.651987,8.738102,8.739495,8.405572,8.668255,8.286463,8.737984,8.616273,8.645027,8.782249,8.707006,8.632385,8.699918,8.64842,8.6851225,8.58993,8.727227,8.671115,8.332793,8.674792,8.715712,8.627222,8.631981,8.628656,8.295968,8.758399,8.740415,8.493384,8.417968,8.595971,8.614629
8.711181,8.580944,8.695116,8.582117,8.697705,8.593191,7.8798814,8.552119,8.397548,8.554756,8.65849,8.866259,8.244419,8.325972,8.7751045,8.61925,8.619732,8.63834,8.654251,8.713664,8.585393,8.510946,7.8798814,8.6387005,8.566768,8.644914,8.755518,8.514679,8.748026,8.098338,8.534669,8.712044,8.175809,8.398933,8.652043,8.394714,8.713664,8.661508,8.680552,8.825229,8.606561,8.519341,8.519869,8.770346,8.709839,8.598904,8.4677725,8.5777,8.714623,8.566768,8.660009,8.738252,8.669912,8.739699,8.690679,8.764167,8.702808,8.700937,8.710339,8.713664,8.60018,8.618112,8.636574,8.737211,8.749186,8.501814,8.525189,8.779602,8.400036,8.655523,8.561324,8.661438,8.7751045,8.554756,8.668255,8.440329,8.709839,8.611398,8.72065,8.69781,8.645224,8.6092005,8.699918,8.578073,8.677911,8.695722,8.727227,8.663686,8.681155,8.674792,8.715712,8.608318,8.631981,8.588174,8.596165,8.664404,8.740415,8.280624,8.646556,8.713143,8.606373
8.73768,8.614527,8.695116,8.814962,8.724956,8.62267,8.617126,8.745903,8.742883,8.6793375,8.65849,8.866259,8.701811,8.550053,8.804815,8.79755,8.633982,8.725605,8.714279,8.713664,8.620318,8.704919,8.617126,8.6387005,8.64476,8.708044,8.755518,8.554054,8.782797,8.544997,8.644079,8.712044,8.637209,8.662158,8.674017,8.64542,8.713664,8.696008,8.680552,8.825229,8.80323,8.62656,8.633124,8.770346,8.737984,8.660629,8.57264,8.635965,8.714623,8.64476,8.700353,8.738252,8.691481,8.739699,8.690679,8.764167,8.702808,8.700937,8.710339,8.713664,8.607802,8.670405,8.636574,8.773454,8.749186,8.742803,8.626515,8.779602,8.764069,8.655523,8.710458,8.773743,8.804815,8.6793375,8.668255,8.558166,8.737984,8.678424,8.72065,8.782249,8.76081,8.632385,8.699918,8.64842,8.722063,8.695722,8.727227,8.807356,8.681155,8.674792,8.715712,8.647752,8.631981,8.712571,8.644246,8.758399,8.740415,8.637263,8.699008,8.713143,8.696458
8.73768,8.583077,8.695116,8.793783,8.724956,8.62267,8.617126,8.745903,8.529091,8.608766,8.639652,8.866259,8.654246,8.550053,8.594836,8.771548,8.668063,8.69791,8.692952,8.691713,8.620318,8.704919,8.617126,8.6387005,8.64476,8.642404,8.755518,8.554054,8.782797,8.544997,8.620709,8.712044,8.581357,8.624653,8.6497965,8.611285,8.691713,8.696008,8.680552,8.825229,8.80323,8.62656,8.586908,8.770346,8.737984,8.637588,8.57264,8.635965,8.714623,8.64476,8.700353,8.711191,8.691481,8.739699,8.690679,8.764167,8.702808,8.700937,8.710339,8.691713,8.642168,8.50316,8.636574,8.773454,8.749186,8.629573,8.626515,8.779602,8.714705,8.655523,8.710458,8.689213,8.594836,8.608766,8.668255,8.593783,8.737984,8.678424,8.656196,8.782249,8.727156,8.6081295,8.699918,8.64842,8.722063,8.695722,8.727227,8.759347,8.590867,8.674792,8.715712,8.647752,8.631981,8.712571,8.600525,8.758399,8.740415,8.332099,8.677552,8.713143,8.673327
8.73768,8.614527,8.695116,8.814962,8.724956,8.62267,8.617126,8.745903,8.712446,8.659178,8.65849,8.866259,8.701811,8.550053,8.804815,8.79755,8.668063,8.705066,8.714279,8.713664,8.517172,8.704919,8.617126,8.6387005,8.64476,8.708044,8.755518,8.554054,8.747488,8.544997,8.644079,8.712044,8.57319,8.619456,8.674017,8.585988,8.713664,8.696008,8.680552,8.825229,8.80323,8.62656,8.633124,8.770346,8.737984,8.660629,8.534269,8.635965,8.714623,8.64476,8.700353,8.738252,8.691481,8.739699,8.690679,8.764167,8.679146,8.678232,8.710339,8.713664,8.642168,8.670405,8.615834,8.773454,8.749186,8.742803,8.538958,8.779602,8.699984,8.655523,8.710458,8.748476,8.804815,8.659178,8.668255,8.539307,8.737984,8.678424,8.72065,8.782249,8.76081,8.632385,8.699918,8.64842,8.692789,8.695722,8.727227,8.807356,8.6514845,8.674792,8.715712,8.647752,8.631981,8.712571,8.612423,8.758399,8.740415,8.637263,8.699008,8.713143,8.689263
