,game_date,status,away_name,home_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,venue_id
57,2024-03-23,Final,Milwaukee Brewers,Chicago Cubs,Ben Brown,Wade Miley,7,4,4629
58,2024-03-23,Final,Cleveland Guardians,Arizona Diamondbacks,Zac Gallen,Tanner Bibee,5,0,4249
59,2024-03-23,Final,Toronto Blue Jays,Baltimore Orioles,Corbin Burnes,Yariel Rodríguez,2,3,2508
60,2024-03-23,Final,Minnesota Twins,Boston Red Sox,Nick Pivetta,Chris Paddack,6,8,4309
61,2024-03-23,Final,Miami Marlins,Washington Nationals,Josiah Gray,Vladimir Gutierrez,5,3,5000
62,2024-03-24,Final,St. Louis Cardinals,Houston Astros,Hunter Brown,Lance Lynn,4,9,5000
63,2024-03-24,Final,Tampa Bay Rays,Detroit Tigers,Jack Flaherty,Zack Littell,2,3,2511
64,2024-03-24,Final,Baltimore Orioles,Minnesota Twins,Joe Ryan,Grayson Rodriguez,8,3,2862
65,2024-03-24,Final,Toronto Blue Jays,Philadelphia Phillies,Aaron Nola,Chris Bassitt,0,2,2700
66,2024-03-24,Final: Tied,Atlanta Braves,Boston Red Sox,Kutter Crawford,Max Fried,5,5,4309
67,2024-03-24,Final,New York Yankees,Pittsburgh Pirates,Martín Pérez,Marcus Stroman,1,0,2526
68,2024-03-24,Final,Washington Nationals,New York Mets,Luis Severino,Patrick Corbin,1,10,2856
69,2024-03-24,Final,New York Mets,Miami Marlins,Darren McCaughan,Tylor Megill,1,5,2520
70,2024-03-24,Final,New York Yankees,Diablos Rojos del Mexico,,Tanner Tully,3,4,5340
71,2024-03-24,Final,Cleveland Guardians,Cincinnati Reds,Hunter Greene,Logan Allen,10,7,3834
72,2024-03-24,Final,Chicago Cubs,Seattle Mariners,Logan Gilbert,Kyle Hendricks,9,9,2530
73,2024-03-24,Final,Chicago White Sox,Colorado Rockies,Austin Gomber,Erick Fedde,3,7,4249
74,2024-03-24,Final,Arizona Diamondbacks,Milwaukee Brewers,DL Hall,Merrill Kelly,4,14,2518
75,2024-03-24,Final,Los Angeles Angels,Los Angeles Dodgers,Bobby Miller,Griffin Canning,3,5,22
76,2024-03-24,Final,Sacramento River Cats,San Francisco Giants,,Mason Black,8,1,2529
77,2024-03-25,Final,Tampa Bay Rays,Philadelphia Phillies,David Buchanan,Jacob Waguespack,6,3,2700
78,2024-03-25,Final,Toronto Blue Jays,Pittsburgh Pirates,Marco Gonzales,Kevin Gausman,3,4,2526
79,2024-03-25,Final,Minnesota Twins,Atlanta Braves,Chris Sale,Bailey Ober,0,4,5380
80,2024-03-25,Final,New York Mets,New York Yankees,Clarke Schmidt,Sean Manaea,0,3,2523
81,2024-03-25,Final,St. Louis Cardinals,Chicago Cubs,Jordan Wicks,Steven Matz,6,3,4629
82,2024-03-25,Final,Colorado Rockies,Milwaukee Brewers,Colin Rea,Dakota Hudson,1,10,2518
83,2024-03-25,Final,Kansas City Royals,Northwest Arkansas Naturals,,Brady Singer,7,1,3329
84,2024-03-25,Final,New York Yankees,Diablos Rojos del Mexico,,Luis Serna,5,8,5340
85,2024-03-25,Final,Boston Red Sox,Texas Rangers,,Garrett Whitlock,9,2,5325
86,2024-03-25,Final,Sugar Land Space Cowboys,Houston Astros,Misael Tamarez,Rhett Kouba,3,1,2392
87,2024-03-25,Final,Los Angeles Angels,Los Angeles Dodgers,Gavin Stone,Reid Detmers,6,0,22
88,2024-03-25,Completed Early: Rain,Cleveland Guardians,Arizona Diamondbacks,Tommy Henry,Tyler Beede,0,6,15
89,2024-03-25,Final,Seattle Mariners,San Diego Padres,Dylan Cease,Bryce Miller,4,1,2680
90,2024-03-25,Final,San Francisco Giants,Oakland Athletics,JP Sears,Jordan Hicks,4,1,10
91,2024-03-26,Final,Washington Nationals Prospects,Washington Nationals,MacKenzie Gore,Jackson Rutledge,1,13,3309
92,2024-03-26,Final: Tied,Detroit Tigers,Tampa Bay Rays,Ryan Pepiot,Casey Mize,3,3,12
93,2024-03-26,Final,Atlanta Braves,Minnesota Twins,Louie Varland,Samuel Strickland,6,9,2862
94,2024-03-26,Final,Boston Red Sox,Texas Rangers,Dane Dunning,Richard Fitts,4,1,5325
95,2024-03-26,Final,St. Louis Cardinals,Chicago Cubs,Shota Imanaga,Kyle Gibson,7,2,4629
96,2024-03-26,Final,Milwaukee Brewers,Colorado Rockies,Ryan Feltner,Aaron Ashby,1,6,4249
97,2024-03-26,Final,Cleveland Guardians,Arizona Diamondbacks,Brandon Pfaadt,Triston McKenzie,1,6,15
98,2024-03-26,Final,Seattle Mariners,San Diego Padres,Michael King,Casey Lawrence,7,6,2680
99,2024-03-26,Final,Oakland Athletics,San Francisco Giants,Spencer Howard,Paul Blackburn,3,1,2395
100,2024-03-26,Final,Sugar Land Space Cowboys,Houston Astros,Ronel Blanco,J.P. France,3,7,2392
101,2024-03-26,Final,Los Angeles Dodgers,Los Angeles Angels,Chase Silseth,James Paxton,3,4,1
102,2024-03-28,Final,Los Angeles Angels,Baltimore Orioles,Corbin Burnes,Patrick Sandoval,3,11,2
103,2024-03-28,Final,Washington Nationals,Cincinnati Reds,Frankie Montas,Josiah Gray,2,8,2602
104,2024-03-28,Final,San Francisco Giants,San Diego Padres,Yu Darvish,Logan Webb,4,6,2680
105,2024-03-28,Final,St. Louis Cardinals,Los Angeles Dodgers,Tyler Glasnow,Miles Mikolas,1,7,22
106,2024-03-28,Final,Toronto Blue Jays,Tampa Bay Rays,Zach Eflin,José Berríos,8,2,12
107,2024-03-28,Final,Minnesota Twins,Kansas City Royals,Cole Ragans,Pablo López,4,1,7
108,2024-03-28,Final,Detroit Tigers,Chicago White Sox,Garrett Crochet,Tarik Skubal,1,0,4
109,2024-03-28,Final,Pittsburgh Pirates,Miami Marlins,Jesús Luzardo,Mitch Keller,6,5,4169
110,2024-03-28,Final,New York Yankees,Houston Astros,Framber Valdez,Nestor Cortes,5,4,2392
111,2024-03-28,Final,Chicago Cubs,Texas Rangers,Nathan Eovaldi,Justin Steele,3,4,5325
112,2024-03-28,Final,Cleveland Guardians,Oakland Athletics,Alex Wood,Shane Bieber,8,0,10
113,2024-03-28,Final,Colorado Rockies,Arizona Diamondbacks,Zac Gallen,Kyle Freeland,1,16,15
114,2024-03-28,Final,Boston Red Sox,Seattle Mariners,Luis Castillo,Brayan Bello,6,4,680
115,2024-03-28,Postponed,Milwaukee Brewers,New York Mets,Jose Quintana,Freddy Peralta,0,0,3289
116,2024-03-28,Postponed,Atlanta Braves,Philadelphia Phillies,Zack Wheeler,Spencer Strider,0,0,2681
117,2024-03-29,Final,Milwaukee Brewers,New York Mets,Jose Quintana,Freddy Peralta,3,1,3289
118,2024-03-29,Final,Atlanta Braves,Philadelphia Phillies,Zack Wheeler,Spencer Strider,9,3,2681
