1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,rf_avg
9,5,5,9,7,5,5,9,7,9,9,5,5,7,9,5,7,5,5,9,9,5,5,9,5,9,9,9,9,9,5,5,5,5,7,5,9,5,5,5,5,9,5,5,9,5,5,9,7,5,9,5,5,9,5,7,5,5,7,9,5,5,7,9,7,9,9,9,5,5,9,9,9,9,9,9,9,5,9,7,5,5,5,7,9,9,5,5,9,5,7,7,5,9,7,7,5,9,9,5,6.88
7,5,5,7,7,5,5,5,7,7,5,5,5,7,7,5,7,5,5,9,5,5,5,5,5,9,7,7,7,7,5,5,7,5,7,5,9,5,5,5,7,5,5,5,7,5,5,5,7,5,9,5,7,5,5,7,7,5,7,9,5,5,7,5,7,5,9,7,5,5,7,5,7,7,5,7,7,5,9,7,5,5,5,7,9,7,5,5,7,5,7,7,5,9,7,7,5,9,9,5,6.18
9,8,5,9,5,5,5,8,9,9,5,8,5,9,7,9,5,9,9,9,5,5,5,5,9,9,9,9,7,5,5,5,7,5,7,5,9,9,5,9,9,9,9,5,5,5,5,5,7,9,9,9,7,5,5,7,5,5,7,9,8,5,9,9,7,5,9,9,5,5,9,5,7,9,5,5,5,5,9,7,9,5,5,7,9,5,5,5,9,5,9,9,5,9,9,9,9,9,9,5,7.0
7,5,5,7,7,5,5,7,7,5,5,5,5,7,7,5,5,5,7,7,5,7,5,5,7,7,7,7,9,7,5,5,7,5,7,5,7,7,7,7,7,5,5,5,5,5,7,7,7,7,7,7,7,5,5,7,5,5,7,7,7,5,7,7,7,5,7,7,9,5,9,5,7,5,5,7,5,5,5,7,5,7,7,7,9,7,5,7,7,5,7,7,5,5,7,7,7,5,7,5,6.22
5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,7,5,5,7,5,5,5,5,7,5,5,5,9,5,5,9,5,5,5,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,9,9,5,5,9,5,7,9,9,5,5,5,9,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,5.56
7,5,5,7,7,5,5,7,5,5,5,5,5,9,7,9,5,9,5,9,5,5,5,5,7,9,9,5,7,7,5,5,7,5,7,5,9,9,5,9,5,5,5,5,7,5,5,7,7,7,7,5,7,5,5,7,7,7,7,9,7,5,9,5,7,5,9,7,5,5,5,5,7,5,5,7,7,7,9,7,5,7,7,7,7,7,5,5,7,5,9,7,5,7,7,7,5,7,5,5,6.34
7,5,5,7,5,5,5,7,7,5,5,5,5,7,7,5,7,5,7,9,7,5,5,7,7,7,7,7,7,7,5,5,7,5,7,5,9,5,5,9,7,5,5,5,7,5,7,5,7,7,9,7,7,5,5,7,7,5,7,9,5,7,7,5,7,5,9,7,5,5,7,5,7,5,7,7,7,5,9,7,5,5,5,7,9,7,5,5,7,5,5,5,5,5,7,5,5,7,9,5,6.22
5,5,5,9,5,5,5,5,5,5,5,5,5,7,7,5,5,5,7,7,5,5,5,5,5,5,5,5,5,7,5,5,5,5,7,5,7,9,5,5,5,9,5,5,5,5,5,5,5,5,7,5,5,5,5,5,9,5,7,7,5,5,5,5,5,5,5,5,5,5,9,5,7,5,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,9,9,5,5.54
9,9,9,9,7,5,9,9,9,9,9,9,9,9,7,5,5,9,9,9,9,5,9,9,9,9,9,9,9,9,9,5,7,9,9,9,9,9,5,9,7,9,5,5,9,5,5,9,9,9,9,5,9,9,5,9,5,9,9,9,3,5,9,9,9,9,9,9,9,9,9,9,7,9,5,7,9,5,9,7,5,5,9,7,9,5,5,5,5,5,9,5,9,9,5,7,5,9,9,5,7.68
7,7,5,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,9,7,7,5,7,7,5,7,7,5,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,5,7,7,7,7,9,9,7,6.9
7,9,5,7,7,5,5,7,9,5,5,5,9,5,7,5,7,5,7,9,9,7,5,7,7,7,5,7,7,7,7,5,7,5,5,9,9,7,7,9,6,9,9,5,5,5,5,5,7,7,9,9,7,5,7,7,7,9,7,9,7,5,7,5,7,5,9,9,9,5,7,9,7,5,7,7,5,5,9,7,5,7,9,7,9,9,5,5,7,5,5,7,5,9,5,7,5,9,9,5,6.77
5,5,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,5,9,9,5,5,5,5,5,9,5,5,9,5,5,5,5,5,7,5,9,5,5,9,5,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,5,9,5,7,5,9,5,5,5,9,5,5,5,5,9,5,5,9,7,5,5,5,5,5,5,5,5,5,5,9,5,5,9,5,5,5,5,9,5,5.74
7,9,5,9,7,5,9,8,7,9,7,9,9,7,7,9,5,5,9,9,7,9,9,7,9,9,9,7,7,7,7,5,7,7,7,5,9,9,7,5,9,9,9,9,9,5,5,7,7,9,7,9,5,5,5,7,9,9,7,9,7,5,8,9,7,5,9,7,5,5,9,5,7,9,9,7,9,7,9,7,9,7,9,7,9,7,5,9,9,9,7,7,5,7,7,9,9,7,9,7,7.48
5,7,7,7,7,5,5,5,7,5,5,5,7,7,7,5,5,5,7,7,5,7,5,7,7,7,5,7,5,5,7,5,7,7,7,5,7,7,7,5,7,7,5,5,7,5,7,7,7,7,7,5,7,5,5,7,5,5,7,7,5,5,7,7,7,5,7,7,5,5,7,5,7,5,7,5,7,5,5,7,5,7,7,7,5,5,7,7,7,5,7,7,5,7,7,7,7,7,5,7,6.16
7,7,5,7,7,7,7,7,7,7,7,9,9,7,7,7,7,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,9,7,7,7,7,7,9,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,9,7,5,7,7,7,5,7,7,9,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,9,7,9,7,7.04
5,5,5,9,7,5,5,6,5,5,7,5,5,7,7,5,5,5,5,9,5,5,5,5,5,9,7,7,7,5,7,5,7,5,7,5,9,7,5,9,9,9,5,5,5,5,7,5,5,5,7,9,7,5,5,7,5,5,7,9,5,5,7,5,7,5,9,7,9,5,9,5,7,5,5,8,5,5,9,7,9,5,5,7,5,7,7,7,5,5,7,7,5,5,5,7,9,5,9,5,6.24
